板块,指标,后台状态,后台位置（已验证）,取数说明,优先级
G.留存,新进7留,⚠️BUG,系统统计>日活统计>"7日活跃总数(留存)"列,同上 bug；按游戏可看"网络游戏注册留存"D7,P0
G.留存,新进30留,⚠️BUG,系统统计>日活统计>"30日活跃总数(留存)"列,同上 bug；按游戏可看"网络游戏注册留存"D30,P0
H.流失与回流,30日流失用户数,🔧待技术,基于用户登录日志,需技术建,P1
H.流失与回流,回流用户数,🔧待技术,基于用户登录日志,需技术建,P1
H.流失与回流,沉睡付费用户,🔧待技术,用户表 + 订单表,需技术按"近1月未付费"+付费分层打标签,P1
H.流失与回流,苏醒付费用户,🔧待技术,同上,同上,P1
I.LTV,新用户LTV7,✅直接可见,系统统计>网络游戏统计>网络游戏注册LTV表>D7消费LTV,按游戏拆；平台口径需技术聚合,P0
I.LTV,新用户LTV14,✅直接可见,同上>D14消费LTV,同上,P1
I.LTV,新用户LTV30,✅直接可见,同上>D30消费LTV,同上,P0
J.游戏维度,单游戏GMV TOP10,✅直接可见,系统统计>游戏统计>按"充值金额"排序,导出后做 TOP10 排行,P1
J.游戏维度,单游戏付费率/ARPU TOP10,✅直接可见,系统统计>网络游戏运营统计>"新增付费率/活跃付费率/活跃ARPU"列,按游戏拆，可导出,P1
J.游戏维度,单机游戏总下载量,✅直接可见,系统统计>系统统计>"游戏总下载数量"卡片,4,252,320,P0
K.会员,会员开通数+收入,✅直接可见,系统统计>套餐统计（套餐类型筛"会员套餐"）,月月新人卡/月月畅享卡 等档位,P1
K.会员,会员续费率,⚙️派生可算,系统统计>套餐统计 + 订单管理,需筛同一用户连续多月会员订单,P1
L.渠道（新增板块）,分渠道注册/付费/ARPU,✅直接可见,系统统计>渠道统计,渠道码：1021/1019/1011/recommend/bkxg18 等；同游戏统计字段,P1
L.渠道（新增板块）,新老用户收入贡献比,⚙️派生可算,系统统计-报表>"注册付费金额"vs"留存付费金额",已经拆好了 ✓ ✓ ✓,P1
M.支付通道（新增板块）,支付通道分布,⚙️派生可算,用户管理>订单管理>"支付通道ID"字段,大白鯊-微信/大白鯊-支付宝等；可按通道分组,P1
M.支付通道（新增板块）,支付通道成功率,⚙️派生可算,同上 + 订单状态,有效订单/总订单（按通道分组）,P1
